image,day,platform_id,node_name,tag_id,predicted_distance_m,predicted_side_px,u_min,u_max,v_min,v_max,corners_in_frame,fully_in_frame,detected
day2_20260821/logs/20260821_111411/mission_4_plant_3/start.jpg,day2_20260821,xplorer-b,plant_3,4,4.425873,19.418159,359.381385,379.064672,231.556415,251.135839,4,yes,yes
day2_20260821/logs/20260821_111411/mission_5_plant_3/start.jpg,day2_20260821,xplorer-b,plant_3,4,3.793896,22.652785,294.598314,317.220707,231.478343,254.180821,4,yes,yes
day2_20260821/logs/20260821_111411/mission_6_plant_3/finish.jpg,day2_20260821,xplorer-b,plant_3,1,0.873858,98.348186,398.072641,501.657235,226.282668,328.446052,4,yes,no
day2_20260821/logs/20260821_111601/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-b,junction_e1,1,5.355019,16.048927,545.328386,806.942756,191.707457,206.49873,2,no,no
day2_20260821/logs/20260821_111727/mission_1_plant_5/start.jpg,day2_20260821,xplorer-b,plant_5,3,2.606105,32.977306,130.442832,603.17096,197.655149,225.399978,4,yes,no
day2_20260821/logs/20260821_111905/mission_1_toilet_f/start.jpg,day2_20260821,xplorer-b,toilet_f,1,5.155548,16.669868,251.284554,445.255936,203.298919,210.054318,4,yes,no
day2_20260821/logs/20260821_112007/mission_1_cb203_entrance/start.jpg,day2_20260821,xplorer-b,cb203_entrance,3,2.587428,33.215344,-763.278519,113.576132,148.127476,208.073204,2,no,no
day2_20260821/logs/20260821_112007/mission_1_cb203_entrance/finish.jpg,day2_20260821,xplorer-b,cb203_entrance,4,1.140159,75.377502,270.727055,346.212728,228.480831,304.121158,4,yes,no
day2_20260821/logs/20260821_112108/mission_1_cb203_exit/start.jpg,day2_20260821,xplorer-b,cb203_exit,1,5.20274,16.518662,532.941027,798.844044,191.603877,206.58398,2,no,no
day2_20260821/logs/20260821_112225/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.524157,163.963037,236.77824,402.219111,212.554853,379.111043,4,yes,yes
day2_20260821/logs/20260821_112314/mission_1_cb203_exit/finish.jpg,day2_20260821,xplorer-b,cb203_exit,1,7.285924,11.795663,274.717408,286.461009,232.068577,243.913365,4,yes,no
day2_20260821/logs/20260821_112534/mission_1_cb203_entrance/finish.jpg,day2_20260821,xplorer-b,cb203_entrance,4,1.117219,76.925179,516.814084,607.267987,226.28267,311.11271,4,yes,no
day2_20260821/logs/20260821_113110/mission_1_plant_3/start.jpg,day2_20260821,xplorer-b,plant_3,3,2.725244,31.535641,-947.672042,5.609193,141.546046,207.896157,1,no,no
day2_20260821/logs/20260821_113110/mission_1_plant_3/finish.jpg,day2_20260821,xplorer-b,plant_3,1,0.909623,94.481263,565.715335,679.129387,224.127136,331.665464,2,no,no
day2_20260821/logs/20260821_113258/mission_1_cb204/start.jpg,day2_20260821,xplorer-b,cb204,1,5.2696,16.309075,264.202146,460.722159,202.852371,209.558881,4,yes,no
day2_20260821/logs/20260821_113529/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.138081,16.726536,120.072213,283.640173,208.278047,215.009168,4,yes,no
day2_20260821/logs/20260821_113529/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,1.85554,46.316594,18.632142,355.351707,204.304801,232.519826,4,yes,no
day2_20260821/logs/20260821_113623/mission_1_cb202/start.jpg,day2_20260821,xplorer-b,cb202,1,5.275333,16.291351,612.225289,893.285889,188.782132,206.111862,2,no,no
day2_20260821/logs/20260821_113656/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,3,2.555357,33.632205,456.228588,769.955058,208.419027,236.972301,2,no,no
day2_20260821/logs/20260821_113738/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.505222,170.107923,143.021864,317.868406,211.104833,386.636639,4,yes,yes
day2_20260821/logs/20260821_115152/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-c,toilet_m,3,0.338474,253.911105,-278.261023,34.135866,276.410619,596.932205,1,no,no
day2_20260821/logs/20260821_115254/mission_1_cb202/start.jpg,day2_20260821,xplorer-c,cb202,3,2.72816,31.501936,490.964571,773.685319,211.640273,242.73644,2,no,no
day2_20260821/logs/20260821_115538/mission_1_plant_5/start.jpg,day2_20260821,xplorer-c,plant_5,1,5.229825,16.433115,115.138724,274.801766,208.657993,216.604607,4,yes,no
day2_20260821/logs/20260821_115814/mission_1_plant_3/finish.jpg,day2_20260821,xplorer-c,plant_3,1,0.819956,104.813269,504.29469,627.214921,257.010268,373.512348,4,yes,yes
day2_20260821/logs/20260821_115924/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-c,junction_e1,3,2.644634,32.496865,-413.518518,310.751104,156.703719,208.081453,2,no,no
day2_20260821/logs/20260821_120124/mission_1_plant_5/start.jpg,day2_20260821,xplorer-c,plant_5,3,2.800019,30.693475,-665.436164,144.893629,143.000388,205.318543,2,no,no
day2_20260821/logs/20260821_120446/mission_1_cb203_entrance/finish.jpg,day2_20260821,xplorer-c,cb203_entrance,4,1.003243,85.66449,139.17456,228.599163,252.036266,340.483609,4,yes,no
day2_20260821/logs/20260821_120634/mission_1_cb203_exit/finish.jpg,day2_20260821,xplorer-c,cb203_exit,3,8.373965,10.263037,129.901138,140.169285,233.841791,244.632022,4,yes,no
day2_20260821/logs/20260821_120808/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-c,toilet_m,3,0.292479,293.840959,-341.273297,22.759613,283.118442,663.682821,1,no,no
day2_20260821/logs/20260821_120902/mission_1_cb203_exit/finish.jpg,day2_20260821,xplorer-c,cb203_exit,3,8.431647,10.192826,148.612569,158.65438,233.938698,244.565367,4,yes,no
day2_20260821/logs/20260821_121016/mission_1_cb203_entrance/finish.jpg,day2_20260821,xplorer-c,cb203_entrance,4,0.995314,86.346935,321.408175,408.861988,252.142904,339.495625,4,yes,yes
day2_20260821/logs/20260821_121432/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-c,junction_e1,3,2.839843,30.263051,-66.710441,466.783632,182.567228,218.326691,2,no,no
day2_20260821/logs/20260821_121718/mission_1_plant_3/start.jpg,day2_20260821,xplorer-c,plant_3,3,2.649761,32.433989,353.180269,713.855213,209.101839,238.459347,2,no,no
day2_20260821/logs/20260821_121718/mission_1_plant_3/finish.jpg,day2_20260821,xplorer-c,plant_3,1,0.782614,109.814417,462.502337,586.059177,258.039158,377.234075,4,yes,no
day2_20260821/logs/20260821_121837/mission_1_cb204/start.jpg,day2_20260821,xplorer-c,cb204,1,5.053249,17.007337,528.620977,811.045079,186.836336,204.827363,2,no,no
day2_20260821/logs/20260821_122227/mission_1_radiator/finish.jpg,day2_20260821,xplorer-c,radiator,1,2.012011,42.714627,271.984681,704.698002,170.927752,209.224161,2,no,no
day2_20260821/logs/20260821_122328/mission_1_cb202/start.jpg,day2_20260821,xplorer-c,cb202,3,2.701235,31.815928,-399.043966,308.675647,158.664865,208.044636,2,no,no
day2_20260821/logs/20260821_122430/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-c,toilet_m,3,0.319606,268.90048,-220.916231,122.342767,280.51252,592.3732,1,no,no
day2_20260821/logs/20260821_122544/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-c,toilet_m,3,0.345724,248.586549,-304.443495,21.295585,276.020224,582.907757,1,no,yes
day2_20260821/logs/20260821_122656/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-c,toilet_m,3,2.735723,31.414845,-142.041033,424.135629,176.511057,215.467088,2,no,no
day2_20260821/logs/20260821_122656/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-c,toilet_m,3,0.250885,342.556095,51.98627,424.84883,290.696937,666.62808,2,no,no
day2_20260821/logs/20260821_131951/mission_1_cb203_exit/start.jpg,day2_20260821,xplorer-b,cb203_exit,1,5.060793,16.981983,202.946266,391.429287,205.125387,211.896961,4,yes,no
day2_20260821/logs/20260821_132326/mission_1_cb204/start.jpg,day2_20260821,xplorer-b,cb204,3,2.690021,31.948566,494.836675,777.219332,208.610601,236.327986,2,no,no
day2_20260821/logs/20260821_132616/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,1,5.25331,16.359649,226.107807,415.496508,204.380227,210.946852,4,yes,no
day2_20260821/logs/20260821_132616/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.501106,171.505307,94.697134,274.705944,210.297252,389.506668,4,yes,yes
day2_20260821/logs/20260821_132710/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,3,2.598346,33.07578,287.545141,678.382733,206.802379,230.323374,2,no,no
day2_20260821/logs/20260821_132710/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.424536,202.438339,419.448577,648.250304,203.670605,426.503123,2,no,yes
day2_20260821/logs/20260821_132810/mission_1_toilet_m/finish.jpg,day2_20260821,xplorer-b,toilet_m,3,0.444286,193.439313,-36.790946,185.583114,204.531786,419.690337,2,no,no
day2_20260821/logs/20260821_133032/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-b,junction_e1,1,5.332306,16.117286,-48.20865,65.661488,210.131921,221.428982,2,no,no
day2_20260821/logs/20260821_133316/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,2.106438,40.799829,494.681864,1040.954586,156.823497,207.264405,2,no,no
day2_20260821/logs/20260821_133431/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.289191,16.248666,393.058312,621.11513,197.543571,207.474495,4,yes,no
day2_20260821/logs/20260821_133600/mission_1_plant_5/start.jpg,day2_20260821,xplorer-b,plant_5,1,5.32978,16.124927,108.790086,263.041387,208.435132,215.254113,4,yes,no
day2_20260821/logs/20260821_134044/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.008712,17.158564,422.285564,674.24933,195.292279,207.288799,2,no,no
day2_20260821/logs/20260821_134202/mission_1_plant_4/start.jpg,day2_20260821,xplorer-b,plant_4,1,5.135565,16.734733,-65.67048,50.188863,210.269413,222.536682,2,no,no
day2_20260821/logs/20260821_134402/mission_1_plant_2/finish.jpg,day2_20260821,xplorer-b,plant_2,1,0.606747,141.6445,315.27852,458.917727,224.238243,368.820279,4,yes,no
day2_20260821/logs/20260821_134743/mission_1_hall_exit/start.jpg,day2_20260821,xplorer-b,hall_exit,1,5.288291,16.251433,-3.439746,122.625936,209.598539,219.67996,2,no,no
day2_20260821/logs/20260821_135113/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.358222,16.039332,234.222883,419.934546,204.28467,210.615898,4,yes,no
day2_20260821/logs/20260821_135113/mission_2_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,2.15426,39.894111,81.031518,344.830987,205.513054,224.677932,4,yes,no
day2_20260821/logs/20260821_135419/mission_1_cb203_exit/start.jpg,day2_20260821,xplorer-b,cb203_exit,3,2.670758,32.178992,-636.122024,166.546439,156.43899,207.766802,2,no,no
day2_20260821/logs/20260821_135704/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-b,junction_e1,3,2.856248,30.089227,564.714431,809.769649,209.005031,237.267036,2,no,no
day2_20260821/logs/20260821_140457/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.03098,17.082618,474.050806,733.350664,193.352682,206.956837,2,no,no
day2_20260821/logs/20260821_140457/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,1.924784,44.650354,171.655035,621.012238,183.897994,218.22832,4,yes,no
day2_20260821/logs/20260821_142326/mission_1_radiator/start.jpg,day2_20260821,xplorer-c,radiator,3,4.344175,19.783345,548.598438,560.168532,235.01171,256.786714,4,yes,no
day2_20260821/logs/20260821_142441/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-c,junction_e1,1,5.185467,16.573687,244.165839,440.494179,202.452368,210.752816,4,yes,no
day2_20260821/logs/20260821_143549/mission_1_cb202/start.jpg,day2_20260821,xplorer-c,cb202,3,2.62785,32.704423,-910.728515,35.99431,122.432302,203.450777,2,no,no
day2_20260821/logs/20260821_143713/mission_1_radiator/start.jpg,day2_20260821,xplorer-c,radiator,3,2.618132,32.825811,474.458025,771.541798,211.40754,243.712942,2,no,no
day2_20260821/logs/20260821_144018/mission_1_radiator/start.jpg,day2_20260821,xplorer-c,radiator,3,2.651656,32.410805,-663.019623,188.187305,139.886808,205.966414,2,no,no
day2_20260821/logs/20260821_144333/mission_1_junction_e1/start.jpg,day2_20260821,xplorer-c,junction_e1,1,5.186801,16.569426,182.322574,360.119977,205.870442,213.552896,4,yes,no
day2_20260821/logs/20260821_144613/mission_1_radiator/finish.jpg,day2_20260821,xplorer-c,radiator,1,2.03039,42.327971,228.818456,623.07018,178.703325,213.718118,4,yes,no
day2_20260821/logs/20260821_144850/mission_1_radiator/start.jpg,day2_20260821,xplorer-c,radiator,3,2.575149,33.373727,248.80505,666.18977,203.519891,235.120524,2,no,no
day2_20260821/logs/20260821_152359/mission_1_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,1.913292,44.918551,23.753053,364.170722,203.705591,231.447969,4,yes,no
day2_20260821/logs/20260821_152524/mission_1_cb202/start.jpg,day2_20260821,xplorer-b,cb202,1,5.286948,16.255562,612.001176,892.48082,188.839985,206.112097,2,no,no
day2_20260821/logs/20260821_153343/mission_1_radiator/start.jpg,day2_20260821,xplorer-b,radiator,1,5.227268,16.441152,606.632391,894.581943,188.603226,206.148228,2,no,no
day2_20260821/logs/20260821_153343/mission_2_radiator/finish.jpg,day2_20260821,xplorer-b,radiator,1,2.038096,42.167944,167.287626,576.139578,188.32719,218.209867,4,yes,no
day2_20260821/logs/20260821_164323/mission_1_toilet_m/start.jpg,day2_20260821,xplorer-b,toilet_m,4,8.863468,9.69624,305.745584,315.224545,232.209718,241.93589,4,yes,no
